Sua Turma:,Qual é a sua área de formação?,Qual sua profissão?,Você sabe programar?,Você já estudou NLP antes?,Você já trabalhou NLP antes?,Qual a utilidade que você acredita ou qual sua expectativa com a utilidade dessa disciplina?,Descreva qual seria sua expectativa com relação ao conteúdo da disciplina. Como  você acredita que essa disciplina pode contribuir com sua formação?,"Para você, o que é essencial estudar nesta disciplina?",Mais alguma observação?,programmer,nlp_student,nlp_worker,utility,formation
Ciência de Dados - Oferta 1,Estatística,Analista de Dados Jr.,Sim,Não,Não,Muito útil,Adquirir conhecimento,Estudar como trabalhar os dados nao estruturados .,,1,0,0,5,other
Ciência de Dados - Oferta 1,Administração,Analista de Dados,Sim,Não,Não,Muito útil,"Trabalhar com grande volume de textos e extrair informações úteis. Por exemplo, NPS de clientes, chamados, dúvidas, reclamações, elogios ..",Entender as principais formas de aplicação e técnicas,,1,0,0,5,other
Ciência de Dados - Oferta 1,Computação,Analista de Dados/Negócios - Hotmart,Sim,Não,Não,Pouco Útil,"Aumentar o T-Shape, porém acredito que não irei utilizar na minha trajetória profissional",Entender uso e geração de valor.,,1,0,0,0,information_technology
Ciência de Dados - Oferta 1,Processamento de Dados e Ciência Jurídica,Analista de Tecnologia e Advogada,Não,Não,Não,Muito útil,Obter conhecimento de uma disciplina fundamental da inteligência artificial que permite resolver problemas por meio da união das áreas de linguística e técnica.,Compreender como ocorre o funcionamento da comunicação entre humanos e máquinas.,Entender a diferença entre Machine Learning e Processamento de Linguagem Natural.,0,0,0,5,other
Ciência de Dados - Oferta 1,Computação,Analista de Sistemas,Sim,Sim,Sim,Muito útil,"Adquirir conhecimento suficiente para identificar oportunidades e conseguir aplicar NLP em tarefas que envolvam dados no meu dia a dia de trabalho. Exemplificando, na empresa onde eu trabalho, a equipe de suporte registra para cada ticket fechado, o problema, a causa da falha e a ação para correção, atualmente hoje utilizamos KNN para propor soluções com base nos incidentes fechados, porém hoje tenho minhas dúvidas se essa seria a melhor solução e também já consigo observar possíveis pontos de melhoria.",Acredito ser essencial aprender como aplicar os diferentes algoritmos de NLP e as suas vantagens/ desvantagens.,,1,1,1,5,information_technology
Ciência de Dados - Oferta 1,Computação,Centers Developer / Eng. de Dados / BI (everis NTT Data) | Web & Webscraping Developer (株式会社DRN),Sim,Sim,Não,Muito útil,Aprender uma nova maneira de enriquecer e analisar os dados aplicando NLP para entender os textos.,É essencial em como irei ser capaz de utilizar NLP para melhorar a qualidade dos meus dados e entender o que aqueles dados significam para aplicações em projetos.,,1,1,0,5,information_technology
Ciência de Dados - Oferta 1,Computação,Analista de Sistemas,Sim,Não,Não,Muito útil,"Para mim, quase tudo é novo na área de linguagem natural e considero que a matéria é de grande importância para ciência de dados. Então, acredito que a matéria vai suprir o ""buraco"" que tenho nesse assunto e me proporcionar uma visão de como eu posso aplicar isso no meu dia a dia no trabalho.",Formas práticas de como aplicar o conteúdo no dia a dia.,,1,0,0,5,information_technology
Ciência de Dados - Oferta 1,Engenharia,Engenheira de Dados,Sim,Não,Não,Muito útil,"A expectativa é aprender a construir soluções de NLP próximas às utilizadas no mercado. Entendo que conhecer processos utilizados por Ciêntistas de Dados é de grande importância para um Engenheiro de Dados, além disso pretendo estar apta a construir soluções relacionadas, seja no trabalho ou em projetos particulares.",Principais conceitos/processos envolvidos em NLP e as principais ferramentas utilizadas no mercado.,,1,0,0,5,engineering
Ciência de Dados - Oferta 1,Ciências Contábeis,Auditor Contábil,Sim,Sim,Não,Muito útil,Análise de sentimentos.,Conceitos e aplicações em python,,1,1,0,5,other
Ciência de Dados - Oferta 1,Administração,Analista de Sistemas,Não,Não,Não,Muito útil,"As melhores expectativas possíveis, pois pretendo migar para a área de Ciências de Dados, e aprender e entender NPL é fundamental para ter sucesso nessa área.","O passo a passo em NPL, como que se trata os dados, e entender como os computadores se comuniquem com pessoas que usam a linguagem cotidiana (falada/escrita).",,0,0,0,5,other
Ciência de Dados - Oferta 1,Jornalismo,Analista de Marketing,Não,Não,Não,Útil,"Gostaria de conhecer mais sobre linguagem natural, como processar ela e como o computador vê e processa isso",Pré-processamento e processamento da linguagem natural,,0,0,0,4,other
Ciência de Dados - Oferta 1,Computação,Analista de Sistemas - BI,Sim,Não,Não,Útil,acredito que os algoritmos serão bem úteis na profissão,aprender python,é um pouco difícil acompanhar a aula e fazer os exercícios ao mesmo tempo. creio que deveria ser pré-requisito saber a linguagem antes de começar a matéria... ,1,0,0,4,information_technology
